Tono,Primaria,Secundaria,Tónica,Cadencia,Cadencia cond,Enlaces,Evitar
C,A,Bb,Cm(7)(13),"Dm(7), F","F7, Bbmaj7","Eb(maj7), Gm(7), Bb",Adim/m7b5
Db,Bb,B,Dbm(7)(13),"Ebm(7), Gb","Gb7, Bmaj7","E(maj7), Abm(7), B",Bbdim/m7b5
D ,B,C,D m(7)(13),"Em(7), G","G7, Cmaj7","F(maj7), Am(7), C",Bdim/m7b5
Eb,C,Db,Ebm(7)(13),"Fm(7), Ab","Ab7, Dbmaj7","Gb(maj7), Bbm(7), Db",Cdim/m7b5
E,Db,D ,Em(7)(13),"Gbm(7), A","A7, Dmaj7","G(maj7), Bm(7), D",Dbdim/m7b5
F,D ,Eb,Fm(7)(13),"Gm(7), Bb","Bb7, Ebmaj7","Ab(maj7), Cm(7), Eb",D dim/m7b5
Gb,Eb,E,Gbm(7)(13),"Abm(7), B","B7, Emaj7","A(maj7), Dbm(7), E",Ebdim/m7b5
G,E,F,Gm(7)(13),"Am(7), C","C7, Fmaj7","Bb(maj7), Dm(7), F",Edim/m7b5
Ab,F,Gb,Abm(7)(13),"Bbm(7), Db","Db7, Gbmaj7","B(maj7), Ebm(7), Gb",Fdim/m7b5
A,Gb,G,Am(7)(13),"Bm(7), D","D7, Gmaj7","C(maj7), Em(7), G",Gbdim/m7b5
Bb,G,Ab,Bbm(7)(13),"Cm(7), Eb","Eb7, Abmaj7","Db(maj7), Fm(7), Ab",Gdim/m7b5
B,Ab,A,Bm(7)(13),"Dbm(7), E","E7, Amaj7","D(maj7), Gbm(7), A",Abdim/m7b5
C,A,Bb,Cm(7)(13),"Dm(7), F","F7, Bbmaj7","Eb(maj7), Gm(7), Bb",Adim/m7b5
