Tono,Primaria,Secundaria,Tónica,Cadencia,Cadencia cond,Enlaces,Evitar
C,Ab,F,Cm(7),"Fm(7), Ab(maj7)",Bb7,"Eb(maj7), Gm(7), Bb",Ddim/m7(b5)
Db,A,Gb,Dbm(7),"Gbm(7), A(maj7)",B7,"E(maj7), Abm(7), B",Ebdim/m7(b5)
D ,Bb,G,Dm(7),"Gm(7), Bb(maj7)",C7,"F(maj7), Am(7), C",Edim/m7(b5)
Eb,B,Ab,Ebm(7),"Abm(7), B(maj7)",Db7,"Gb(maj7), Bbm(7), Db",Fdim/m7(b5)
E,C,A,Em(7),"Am(7), C(maj7)",D7,"G(maj7), Bm(7), D",Gbdim/m7(b5)
F,Db,Bb,Fm(7),"Bbm(7), Db(maj7)",Eb7,"Ab(maj7), Cm(7), Eb",Gdim/m7(b5)
Gb,D,B,Gbm(7),"Bm(7), D(maj7)",E7,"A(maj7), Dbm(7), E",Abdim/m7(b5)
G,Eb,C,Gm(7),"Cm(7), Eb(maj7)",F7,"Bb(maj7), Dm(7), F",Adim/m7(b5)
Ab,E,Db,Abm(7),"Dbm(7), E(maj7)",Gb7,"B(maj7), Ebm(7), Gb",Bbdim/m7(b5)
A,F,D,Am(7),"Dm(7), F(maj7)",G7,"C(maj7), Em(7), G",Bdim/m7(b5)
Bb,Gb,Eb,Bbm(7),"Ebm(7), Gb(maj7)",Ab7,"Db(maj7), Fm(7), Ab",Cdim/m7(b5)
B,G,E,Bm(7),"Em(7), G(maj7)",A7,"D(maj7), Gbm(7), A",Dbdim/m7(b5)
C,Ab,F,Cm(7),"Fm(7), Ab(maj7)",Bb7,"Eb(maj7), Gm(7), Bb",Ddim/m7(b5)
