Tono,Primaria,Secundaria,Tónica,Cadencia,Cadencia cond,Enlaces,Evitar
C,F,B,"C(maj7), (sus4)","F(maj7), D(m7)",E(m7),Am(7),"G(7), Bm(m7b5)"
Db,Gb,C,"Db(maj7), (sus4)","Gb(maj7), Eb(m7)",F(m7),Bbm(7),"Ab(7), Cm(m7b5)"
D ,G,Db,"D(maj7), (sus4)","G(maj7), E(m7)",Gb(m7),Bm(7),"A(7), Dbm(m7b5)"
Eb,Ab,D,"Eb(maj7), (sus4)","Ab(maj7), F(m7)",G(m7),Cm(7),"Bb(7), Dm(m7b5)"
E,A,Eb,"E(maj7), (sus4)","A(maj7), Gb(m7)",Ab(m7),Dbm(7),"B(7), Ebm(m7b5)"
F,Bb,E,"F(maj7), (sus4)","Bb(maj7), G(m7)",A(m7),Dm(7),"C(7), Em(m7b5)"
Gb,B,F,"Gb(maj7), (sus4)","B(maj7), Ab(m7)",Bb(m7),Ebm(7),"Db(7), Fm(m7b5)"
G,C,Gb,"G(maj7), (sus4)","C(maj7), A(m7)",B(m7),Em(7),"D(7), Gbm(m7b5)"
Ab,Db,G,"Ab(maj7), (sus4)","Db(maj7), Bb(m7)",C(m7),Fm(7),"Eb(7), Gm(m7b5)"
A,D,Ab,"A(maj7), (sus4)","D(maj7), B(m7)",Db(m7),Gbm(7),"E(7), Abm(m7b5)"
Bb,Eb,A,"Bb(maj7), (sus4)","Eb(maj7), C(m7)",D(m7),Gm(7),"F(7), Am(m7b5)"
B,E,Bb,"B(maj7), (sus4)","E(maj7), Db(m7)",Eb(m7),Abm(7),"Gb(7), Bbm(m7b5)"
C,F,B,"C(maj7), (sus4)","F(maj7), D(m7)",E(m7),Am(7),"G(7), Bm(m7b5)"
